type,name,default,night,group,usage,note,policy,source_path
dimen,pandawave_now_playing_transport_spacing,12dp,—,Now Playing geometry,Provider,Now playing transport spacing,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_preference_content_padding,16dp,—,Preferences and feedback geometry,Provider,Preference content padding,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_preference_control_width,56dp,—,Preferences and feedback geometry,Provider,Preference control width,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_preference_icon_size,24dp,—,Preferences and feedback geometry,Provider,Preference icon size,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_preference_row_min_height,52dp,—,Preferences and feedback geometry,Provider,Preference row min height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_progress_thumb_size,26dp,—,"Mini-player, progress and volume",Provider,Progress thumb size,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_progress_track_height,6dp,—,"Mini-player, progress and volume",Provider,Progress track height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_rotary_step_threshold,24dp,—,"Shared spacing, geometry and focus",Provider,Input/layout-sensitive; validate on target HU,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_shape_corner_md,8dp,—,"Shared spacing, geometry and focus",Provider,Shape corner md,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_shape_corner_sm,4dp,—,"Shared spacing, geometry and focus",Provider,Shape corner sm,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_spacing_lg,28dp,—,"Shared spacing, geometry and focus",Provider,Spacing lg,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_spacing_md,20dp,—,"Shared spacing, geometry and focus",Provider,Spacing md,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_spacing_sm,12dp,—,"Shared spacing, geometry and focus",Provider,Spacing sm,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_spacing_xl,36dp,—,"Shared spacing, geometry and focus",Provider,Spacing xl,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_spacing_xs,6dp,—,"Shared spacing, geometry and focus",Provider,Spacing xs,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_touch_target_lg,56dp,—,"Shared spacing, geometry and focus",Provider,Input/layout-sensitive; validate on target HU,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_touch_target_md,48dp,—,"Shared spacing, geometry and focus",Provider,Input/layout-sensitive; validate on target HU,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_type_body_line_height,20sp,—,Typography,Provider,Type body line height,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_body_size,14sp,—,Typography,Provider,Type body size,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_control_label_line_height,16sp,—,Typography,Provider,Type control label line height,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_control_label_size,12sp,—,Typography,Provider,Type control label size,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_display_line_height,34sp,—,Typography,Provider,Type display line height,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_display_size,28sp,—,Typography,Provider,Type display size,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_metadata_line_height,16sp,—,Typography,Provider,Type metadata line height,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_metadata_size,12sp,—,Typography,Provider,Type metadata size,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_section_title_line_height,24sp,—,Typography,Provider,Type section title line height,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_type_section_title_size,18sp,—,Typography,Provider,Type section title size,public,core/designsystem/src/main/res/values/pandawave_typography.xml
dimen,pandawave_voice_bar_gap,5dp,—,Ambient and voice geometry,Provider,Voice bar gap,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_voice_bar_idle_height,7dp,—,Ambient and voice geometry,Provider,Voice bar idle height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_voice_bar_width,3dp,—,Ambient and voice geometry,Provider,Voice bar width,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_voice_indicator_bars_height,22dp,—,Ambient and voice geometry,Provider,Voice indicator bars height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_voice_indicator_bars_width,22dp,—,Ambient and voice geometry,Provider,Voice indicator bars width,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_voice_indicator_border_width,1dp,—,Ambient and voice geometry,Provider,Voice indicator border width,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_volume_control_height,40dp,—,"Mini-player, progress and volume",Provider,Volume control height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_volume_control_max_width,380dp,—,"Mini-player, progress and volume",Provider,Volume control max width,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_waveform_bar_width,6dp,—,Ambient and voice geometry,Provider,Waveform bar width,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
dimen,pandawave_waveform_height,36dp,—,Ambient and voice geometry,Provider,Waveform height,public,core/designsystem/src/main/res/values/pandawave_dimensions.xml
drawable,pandawave_ic_launcher_foreground,Vector 108dp × 108dp; viewport 108 × 108,—,Branding drawables,XML chain,Ic launcher foreground,public,core/designsystem/src/main/res/drawable/pandawave_ic_launcher_foreground.xml
drawable,pandawave_ic_launcher_monochrome,Vector 108dp × 108dp; viewport 108 × 108,—,Branding drawables,XML chain,Ic launcher monochrome,public,core/designsystem/src/main/res/drawable/pandawave_ic_launcher_monochrome.xml
drawable,pandawave_ic_logo,Vector 48dp × 48dp; viewport 100 × 100,—,Branding drawables,Direct code,Ic logo,public,core/designsystem/src/main/res/drawable/pandawave_ic_logo.xml
drawable,pandawave_ic_panda_paw,Vector 48dp × 48dp; viewport 24 × 24,—,Branding drawables,Direct code,Ic panda paw,public,core/designsystem/src/main/res/drawable/pandawave_ic_panda_paw.xml
drawable,pandawave_ic_splash_mark,Inset 0dp; @drawable/pandawave_ic_launcher_foreground,—,Branding drawables,XML chain,Ic splash mark,public,core/designsystem/src/main/res/drawable/pandawave_ic_splash_mark.xml
fraction,pandawave_state_disabled_alpha,38%,—,Opacity fractions,XML chain,XML selector alpha; not a global Compose alpha,public,core/designsystem/src/main/res/values/pandawave_colors.xml
fraction,pandawave_state_focus_alpha,100%,—,Opacity fractions,XML chain,XML selector alpha; not a global Compose alpha,public,core/designsystem/src/main/res/values/pandawave_colors.xml
fraction,pandawave_state_pressed_alpha,88%,—,Opacity fractions,XML chain,XML selector alpha; not a global Compose alpha,public,core/designsystem/src/main/res/values/pandawave_colors.xml
integer,pandawave_max_browse_columns_restricted,2,—,Restriction integers,Provider,Loaded; no production read of this token field found; no provider range check,public,core/designsystem/src/main/res/values/pandawave_limits.xml
integer,pandawave_max_browse_columns_unrestricted,4,—,Restriction integers,Provider,Loaded; no production read of this token field found; no provider range check,public,core/designsystem/src/main/res/values/pandawave_limits.xml
integer,pandawave_max_visible_actions_restricted,3,—,Restriction integers,Provider,Loaded; no production read of this token field found; no provider range check,public,core/designsystem/src/main/res/values/pandawave_limits.xml
integer,pandawave_motion_duration_long_millis,320,—,Motion integers,Declared only,No direct production consumer found,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_motion_duration_medium_millis,220,—,Motion integers,Declared only,No direct production consumer found,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_motion_duration_short_millis,120,—,Motion integers,Declared only,No direct production consumer found,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_motion_easing_standard,0,—,Motion integers,Declared only,No consumer found; no supported easing-value mapping established,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_motion_voice_activation_millis,650,—,Motion integers,Provider,Motion voice activation millis,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_motion_voice_cycle_millis,3000,—,Motion integers,Provider,Motion voice cycle millis,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_splash_exit_animation_duration_millis,220,—,Motion integers,Direct code,Splash exit animation duration millis,public,core/designsystem/src/main/res/values/pandawave_motion.xml
integer,pandawave_type_body_weight,400,—,Typography,Provider,Type body weight,public,core/designsystem/src/main/res/values/pandawave_typography.xml
integer,pandawave_type_control_label_weight,600,—,Typography,Provider,Type control label weight,public,core/designsystem/src/main/res/values/pandawave_typography.xml
integer,pandawave_type_display_weight,700,—,Typography,Provider,Type display weight,public,core/designsystem/src/main/res/values/pandawave_typography.xml
integer,pandawave_type_metadata_weight,400,—,Typography,Provider,Type metadata weight,public,core/designsystem/src/main/res/values/pandawave_typography.xml
integer,pandawave_type_section_title_weight,600,—,Typography,Provider,Type section title weight,public,core/designsystem/src/main/res/values/pandawave_typography.xml
